**************** bmn_run479211_raw Chamber 1 primary equalization *******************************

Chamber #1 preliminary channel offsets (average is 4162.954590)
   strip 13 time shift (left+right)/2 = -28.900391
   strip 14 time shift (left+right)/2 = -4.900391
   strip 15 time shift (left+right)/2 = 0.000000
   strip 16 time shift (left+right)/2 = 19.099609
   strip 17 time shift (left+right)/2 = -8.900391
   strip 18 time shift (left+right)/2 = -22.900391
   strip 19 time shift (left+right)/2 = -30.900391
   strip 20 time shift (left+right)/2 = 35.766602
   strip 21 time shift (left+right)/2 = -16.900391
   strip 22 time shift (left+right)/2 = 51.099609
   strip 23 time shift (left+right)/2 = -30.900391
   strip 24 time shift (left+right)/2 = -33.900391
   strip 25 time shift (left+right)/2 = 5.099609
   strip 26 time shift (left+right)/2 = 19.099609
   strip 27 time shift (left+right)/2 = 8.432617
   strip 28 time shift (left+right)/2 = 13.099609
   strip 29 time shift (left+right)/2 = -18.900391
   strip 30 time shift (left+right)/2 = -6.900391
   strip 31 time shift (left+right)/2 = 15.099609
**************** bmn_run479211_raw Chamber 7 primary equalization *******************************

Chamber #7 preliminary channel offsets (average is 9643.736328)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -12.736328
   strip 2 time shift (left+right)/2 = 17.263672
   strip 3 time shift (left+right)/2 = -24.736328
   strip 4 time shift (left+right)/2 = 39.263672
   strip 5 time shift (left+right)/2 = -16.736328
   strip 6 time shift (left+right)/2 = -23.736328
   strip 7 time shift (left+right)/2 = 25.263672
   strip 8 time shift (left+right)/2 = -4.736328
   strip 9 time shift (left+right)/2 = -26.736328
   strip 10 time shift (left+right)/2 = -4.736328
   strip 11 time shift (left+right)/2 = 2.263672
   strip 12 time shift (left+right)/2 = -33.403320
   strip 13 time shift (left+right)/2 = -8.736328
   strip 14 time shift (left+right)/2 = -3.736328
   strip 15 time shift (left+right)/2 = 0.000000
   strip 16 time shift (left+right)/2 = -8.736328
   strip 17 time shift (left+right)/2 = 19.263672
   strip 18 time shift (left+right)/2 = 33.263672
   strip 19 time shift (left+right)/2 = 53.263672
   strip 20 time shift (left+right)/2 = 3.263672
   strip 21 time shift (left+right)/2 = 23.263672
   strip 22 time shift (left+right)/2 = -29.736328
